id,franchise_id,instagram_url,facebook_url,twitter_url,linkedin_url,created_at,updated_at
c588bbc8-7441-48d1-9ad5-f68f134bb74d,ab2c97a4-15c8-4105-902b-e6b961445825,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
c0a41c98-0441-45c3-aeb4-00d736dc95d2,0fe579f2-a816-4116-a312-a340923dbfe6,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
bbb71930-f81e-410c-907c-244dc45dafea,ba736baa-47d2-4b53-8969-661dbce6e6a1,,https://www.facebook.com/NexottelHotelResorts,,https://www.linkedin.com/company/nexottel-hotel-resorts,2026-01-10 12:02:56,2026-01-10 12:02:56
9e5b6554-bda6-4c0b-b8fe-cda69ba2356c,f943babd-ea6a-444b-b645-315f491c40a6,https://www.instagram.com/tripfactory,https://www.facebook.com/tripfactory,,https://www.linkedin.com/company/tripfactory-com,2026-01-10 12:02:56,2026-01-10 12:02:56
469173c4-3de2-47fa-bdb7-cf71bf6faeb6,e277efc3-55a1-40a9-8fad-b3149ffe9d2f,https://www.instagram.com/sonix_car_decors,https://www.facebook.com/share/1En41f96c4/,,,2026-01-10 12:02:56,2026-01-10 12:02:56
1006ba9c-6962-4c1b-a75f-a9c80ecde6e8,347dcb07-5002-4376-b056-fc37fe48eac8,,,,https://www.linkedin.com/company/swank-autocare/,2026-01-10 12:02:56,2026-01-10 12:02:56
0d8f508b-9871-4594-9afe-ab36505fc9d2,4024b1c9-12fd-451e-8a5f-0a5025e55819,,,,https://www.linkedin.com/company/reluxelectric/,2026-01-10 12:02:56,2026-01-10 12:02:56
5857cdfd-8e77-4dc8-b51f-2f59ac62e44c,8be9d5c3-86aa-4cd5-be33-3b39dfd647fa,https://www.instagram.com/bliveindia/,https://www.facebook.com/bliveindia,,https://in.linkedin.com/company/bliveindia,2026-01-10 12:02:56,2026-01-10 12:02:56
657370b0-2847-4b6c-a356-c4ed3b496cc1,bb0d140f-d9e5-4b4a-8182-4376a439422f,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
2a81a24a-d98c-47de-a0e5-ac4dd564ef0c,243ecbfb-c97d-42f8-b56c-31ca4f742263,https://www.instagram.com/wavexstore.mt/?hl=en,,,https://in.linkedin.com/company/wavex-auto-care,2026-01-10 12:02:56,2026-01-10 12:02:56
260cefb7-8bc0-4ce8-a495-447c684cecbd,5b707bb6-7325-4cd8-961e-8eff582d5328,,,,https://www.linkedin.com/company/onnbikes/about/,2026-01-10 12:02:56,2026-01-10 12:02:56
d7dc9840-c471-445c-a7b6-315bb9ebfaf8,f796a38b-1d81-4e48-ad0c-4ebeb485b41d,https://www.instagram.com/amoelectricbikes,https://www.facebook.com/amoelectricbikes,,https://in.linkedin.com/company/amoelectricbikes,2026-01-10 12:02:56,2026-01-10 12:02:56
f3576f2c-5813-4e6c-aa08-d41afc7c6440,e909318a-6b26-4da4-a189-c7e5e01c2226,https://www.instagram.com/doctorgarage.in,https://www.facebook.com/doctorgarage,,https://in.linkedin.com/company/doctor-garage,2026-01-10 12:02:56,2026-01-10 12:02:56
90d46926-ac39-4a56-b385-437570fbddaf,ad81abe8-369b-42cc-b233-fa5e90258116,https://www.instagram.com/youstafashion,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
0318ac99-f9be-495c-a279-8c0a7cdc9762,98ecc642-3342-4704-bc19-7da7d34461df,https://www.instagram.com/redtapeindia,https://www.facebook.com/RedTapeIndia,,,2026-01-10 12:02:56,2026-01-10 12:02:56
6aef29e2-b1bc-4f94-815b-3abb94f5c866,290bec96-ad40-46e1-ad88-33c3cf6536b9,https://www.instagram.com/carriall,https://www.facebook.com/carriall,,,2026-01-10 12:02:56,2026-01-10 12:02:56
779cb8a1-84ae-46ed-ab8a-baad5a3c392c,0ce95acf-1221-45aa-ae6a-d496a33d1fa8,,https://www.facebook.com/CanaryLondonOfficial,,,2026-01-10 12:02:56,2026-01-10 12:02:56
fca4e698-aae1-443b-817b-1b205c34eb1e,3d7a177b-20bf-4b7d-a8a1-7c3514daa4a5,https://www.instagram.com/specsmakersofficial,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
f73a34da-f81e-4335-bf38-7c50145bae5e,2155ba74-85c2-4123-9485-75b3c9e07def,https://www.instagram.com/siaartjewellery,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
72814f68-89d1-45a6-a634-fc59bdea3358,a61d62b8-582d-4179-9603-789f0ee2bece,,https://www.facebook.com/classicpolos,,,2026-01-10 12:02:56,2026-01-10 12:02:56
