id,franchise_id,initial_investment_min,initial_investment_max,franchise_fee,royalty_percentage,marketing_fee_percentage,payback_min_months,payback_max_months,roi_min_percentage,roi_max_percentage,monthly_turnover_min,monthly_turnover_max,single_unit_cost_min,single_unit_cost_max,investment_includes,created_by,updated_by,created_at,updated_at
0c41acfa-7c46-4b85-a3d1-167d46517c57,b38c39c0-b9f6-495f-b8be-a65b1c0b9221,2500000,5000000,500000,,,24,36,18,30,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 18:15,2025-1-1 18:15
b65a968d-3563-40af-b2c6-ea5fff78cb3a,c8f6989c-d785-4cf7-b127-b7ba288a3314,1200000,1200000,500000,5,,9,12,18,25,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
26074183-850c-4448-a42a-3aa0f359f603,b297c5b9-82e3-4c3d-88fc-c509ae881207,200000,500000,50000,,,12,24,25,25,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
f88c9295-7a33-4a27-9972-5a2d043aac50,6a8c08c9-ef66-48b0-a68e-e9e0b7b40fcc,1000000,1200000,200000,5,,12,12,25,35,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 8:15,2025-1-1 8:15
bcef8020-3e42-4a20-a771-9b69a9885e72,afb4be0a-0173-4248-b0b9-9c7ba0e3ce8f,1500000,2000000,200000,7,,12,12,90,100,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 11:59,2025-1-1 11:59
9a698146-e670-4a74-a582-a54899cf0953,09378ed3-2aa4-4e45-bf5d-6a75d1bdb2f7,7500000,20000000,,,,12,12,,,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
9a861d7d-4ad6-424f-be29-e96318f90b97,b781fa76-8eaf-4cf9-a15c-b6a1c3503554,5000000,10000000,,,,,,,,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
83b49d2d-5805-479d-b78c-78793caa71af,0e50ed02-6937-4c8d-aa31-b4202a5f77cd,2000000,3000000,200000,30,,,,,,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 23:59,2025-1-1 23:59
b8d1a47a-592d-4631-8bdc-42d93c73dc9a,7e62e026-71a1-4b49-971d-e8bcd1cc4e54,4000000,5000000,,,,,,,,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 1:45,2025-1-1 1:45
493acddc-48bb-45d4-bcb2-ea0303912d0c,8a873fc8-8a68-461e-81f4-55d7f192f2b1,2000000,3000000,,,,,,,,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 3:24,2025-1-1 3:24
e1c27132-5c6f-4b61-ad2d-a524ad7f1c8e,fc244900-e4b1-4eec-8e70-eb778beac3a5,3000000,10000000,,,,,,,,,,,,,00000000-0000-0000-0000-000000000001,,2025-1-1 4:34,2025-1-1 4:34
